INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2019-01-11T18:00:00-00:00,2019-01-11T19:00:00-00:00,1,2019-01-11,11,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,24552.92,DAM,2
2019-01-12T05:00:00-00:00,2019-01-12T06:00:00-00:00,1,2019-01-11,22,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25034.42,DAM,2
2019-01-11T19:00:00-00:00,2019-01-11T20:00:00-00:00,1,2019-01-11,12,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23920.89,DAM,2
2019-01-12T01:00:00-00:00,2019-01-12T02:00:00-00:00,1,2019-01-11,18,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27153.99,DAM,2
2019-01-12T03:00:00-00:00,2019-01-12T04:00:00-00:00,1,2019-01-11,20,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27063.64,DAM,2
2019-01-11T09:00:00-00:00,2019-01-11T10:00:00-00:00,1,2019-01-11,2,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,20291.43,DAM,2
2019-01-11T10:00:00-00:00,2019-01-11T11:00:00-00:00,1,2019-01-11,3,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,19833.74,DAM,2
2019-01-11T20:00:00-00:00,2019-01-11T21:00:00-00:00,1,2019-01-11,13,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23501.86,DAM,2
2019-01-11T11:00:00-00:00,2019-01-11T12:00:00-00:00,1,2019-01-11,4,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,19764.37,DAM,2
2019-01-12T00:00:00-00:00,2019-01-12T01:00:00-00:00,1,2019-01-11,17,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,24944.01,DAM,2
2019-01-12T04:00:00-00:00,2019-01-12T05:00:00-00:00,1,2019-01-11,21,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,26171.57,DAM,2
2019-01-11T22:00:00-00:00,2019-01-11T23:00:00-00:00,1,2019-01-11,15,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23733.55,DAM,2
2019-01-12T02:00:00-00:00,2019-01-12T03:00:00-00:00,1,2019-01-11,19,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27702.18,DAM,2
2019-01-11T08:00:00-00:00,2019-01-11T09:00:00-00:00,1,2019-01-11,1,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,20983.53,DAM,2
2019-01-11T21:00:00-00:00,2019-01-11T22:00:00-00:00,1,2019-01-11,14,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23451.35,DAM,2
2019-01-11T23:00:00-00:00,2019-01-12T00:00:00-00:00,1,2019-01-11,16,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,24020.53,DAM,2
2019-01-11T14:00:00-00:00,2019-01-11T15:00:00-00:00,1,2019-01-11,7,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,24235.59,DAM,2
